NUM_OF_CORE,MORSEL_SIZE,cols,recSize,TimeTaken
40,211464,3,264,22.72500
40,264264,3,264,23.47500
40,317064,3,264,22.05000
40,369864,3,264,21.05000
40,422664,3,264,22.37500
40,475464,3,264,26.25000
40,528264,3,264,22.87500
40,581064,3,264,22.97500
40,633864,3,264,21.27500
40,686664,3,264,26.72500
40,739464,3,264,21.62500
40,792264,3,264,24.90000
40,845064,3,264,22.32500
40,897864,3,264,21.42500
40,950664,3,264,26.10000
40,1003464,3,264,22.75000
40,1056264,3,264,22.07500
40,1109064,3,264,28.70000
40,1161864,3,264,25.87500
40,1214664,3,264,27.40000
40,1267464,3,264,27.02500
40,1320264,3,264,25.47500
40,1373064,3,264,23.30000
40,1425864,3,264,21.25000
40,1478664,3,264,26.90000
40,1531464,3,264,24.67500
40,1584264,3,264,26.22500
40,1637064,3,264,22.75000
40,1689864,3,264,21.70000
40,1742664,3,264,21.70000
40,1795464,3,264,22.07500
40,1848264,3,264,23.35000
40,1901064,3,264,21.30000
40,1953864,3,264,25.67500
40,2006664,3,264,24.42500
40,2059464,3,264,22.57500
42,264,3,264,10.14286
42,53064,3,264,30.23809
42,105864,3,264,28.19048
42,158664,3,264,27.35714
42,211464,3,264,22.47619
42,264264,3,264,28.14286
42,317064,3,264,27.09524
42,369864,3,264,27.38095
42,422664,3,264,26.14286
42,475464,3,264,27.09524
42,528264,3,264,24.52381
42,581064,3,264,24.50000
42,633864,3,264,22.57143
42,686664,3,264,23.14286
42,739464,3,264,21.90476
42,792264,3,264,22.90476
42,845064,3,264,24.02381
42,897864,3,264,26.90476
42,950664,3,264,23.73809
42,1003464,3,264,22.02381
42,1056264,3,264,32.23809
42,1109064,3,264,22.64286
42,1161864,3,264,22.88095
42,1214664,3,264,22.69048
42,1267464,3,264,23.00000
42,1320264,3,264,23.50000
42,1373064,3,264,26.95238
42,1425864,3,264,21.76191
42,1478664,3,264,26.02381
42,1531464,3,264,28.33333
42,1584264,3,264,24.28572
42,1637064,3,264,26.64286
42,1689864,3,264,25.64286
42,1742664,3,264,26.61905
42,1795464,3,264,27.09524
42,1848264,3,264,25.57143
42,1901064,3,264,27.28572
42,1953864,3,264,22.47619
42,2006664,3,264,23.33333
42,2059464,3,264,21.52381
44,264,3,264,8.88636
44,53064,3,264,28.22727
44,105864,3,264,28.90909
44,158664,3,264,27.15909
44,211464,3,264,24.97727
44,264264,3,264,22.86364
44,317064,3,264,24.65909
44,369864,3,264,32.93182
44,422664,3,264,25.00000
44,475464,3,264,25.81818
44,528264,3,264,24.20455
44,581064,3,264,25.22727
44,633864,3,264,28.09091
44,686664,3,264,23.97727
44,739464,3,264,30.72727
44,792264,3,264,25.04545
44,845064,3,264,25.97727
44,897864,3,264,22.70455
44,950664,3,264,25.56818
44,1003464,3,264,26.27273
44,1056264,3,264,24.95455
44,1109064,3,264,26.50000
44,1161864,3,264,23.90909
44,1214664,3,264,27.15909
44,1267464,3,264,26.56818
44,1320264,3,264,24.97727
44,1373064,3,264,26.75000
44,1425864,3,264,29.27273
44,1478664,3,264,26.68182
44,1531464,3,264,21.43182
44,1584264,3,264,25.18182
44,1637064,3,264,22.38636
44,1689864,3,264,26.22727
44,1742664,3,264,24.47727
44,1795464,3,264,30.13636
44,1848264,3,264,25.27273
44,1901064,3,264,25.15909
44,1953864,3,264,26.95455
44,2006664,3,264,24.29545
44,2059464,3,264,26.50000
46,264,3,264,8.17391
46,53064,3,264,33.30435
46,105864,3,264,24.56522
46,158664,3,264,33.04348
46,211464,3,264,28.45652
46,264264,3,264,28.76087
46,317064,3,264,33.67391
46,369864,3,264,35.02174
46,422664,3,264,24.73913
46,475464,3,264,26.43478
46,528264,3,264,24.30435
46,581064,3,264,28.04348
46,633864,3,264,27.63043
46,686664,3,264,29.15217
46,739464,3,264,24.95652
46,792264,3,264,26.60870
46,845064,3,264,27.58696
46,897864,3,264,33.58696
46,950664,3,264,26.84783
46,1003464,3,264,26.10870
46,1056264,3,264,24.58696
46,1109064,3,264,28.78261
46,1161864,3,264,25.04348
46,1214664,3,264,28.43478
46,1267464,3,264,25.76087
46,1320264,3,264,27.65217
46,1373064,3,264,28.91304
46,1425864,3,264,30.28261
46,1478664,3,264,29.95652
46,1531464,3,264,32.67391
46,1584264,3,264,31.60870
46,1637064,3,264,31.80435
46,1689864,3,264,28.17391
46,1742664,3,264,27.58696
46,1795464,3,264,24.50000
46,1848264,3,264,24.97826
46,1901064,3,264,28.89130
46,1953864,3,264,28.04348
46,2006664,3,264,25.47826
46,2059464,3,264,29.21739
48,264,3,264,8.81250
48,53064,3,264,34.25000
48,105864,3,264,29.68750
48,158664,3,264,28.31250
48,211464,3,264,32.97917
48,264264,3,264,30.56250
48,317064,3,264,27.52083
48,369864,3,264,29.10417
48,422664,3,264,26.85417
48,475464,3,264,30.31250
48,528264,3,264,25.87500
48,581064,3,264,29.47917
48,633864,3,264,26.27083
48,686664,3,264,29.62500
48,739464,3,264,32.04167
48,792264,3,264,28.85417
48,845064,3,264,29.43750
48,897864,3,264,32.52083
48,950664,3,264,29.93750
48,1003464,3,264,30.06250
48,1056264,3,264,30.66667
48,1109064,3,264,31.77083
48,1161864,3,264,29.39583
48,1214664,3,264,28.20833
48,1267464,3,264,28.54167
48,1320264,3,264,24.87500
48,1373064,3,264,29.58333
48,1425864,3,264,25.35417
48,1478664,3,264,28.75000
48,1531464,3,264,23.33333
